left_context,Candidate_words,right_context,target_status 
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna",count,'em out now? Because I'll save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count",'em,out now? Because I'll save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em",out,now? Because I'll save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out",now?,Because I'll save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now?",Because,I'll save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because",I'll,save you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll",save,you the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save",you,the trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save you",the,trouble. There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save you the",trouble.,There's two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save you the trouble.",There's,two. <end>,0
"<start> I'm pretty sure those're my balls you've found,” I said to the man searching my pants. “You gonna count 'em out now? Because I'll save you the trouble. There's",two.,<end>,0
<start>,You,"like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
<start> You,like,"them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
<start> You like,"them,""","I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,""",I,"realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I",realized.,"Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized.",Noah's,"eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's",eyebrows,"lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows",lifted,"in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted",in,"question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in",question.,"""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question.","""Like","as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like",as,"people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as","people.""","""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people.""","""As","opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As",opposed,"to...furniture?"" ""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed","to...furniture?""","""They're my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?""","""They're","my PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're",my,"PARENTS."" ""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my","PARENTS.""","""That is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS.""","""That","is my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That",is,"my understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is",my,"understanding, yes. <end>",0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my","understanding,",yes. <end>,0
"<start> You like them,"" I realized. Noah's eyebrows lifted in question. ""Like as people."" ""As opposed to...furniture?"" ""They're my PARENTS."" ""That is my understanding,",yes.,<end>,0
<start>,It,"is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
<start> It,is,"most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
<start> It is,most,"remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
<start> It is most,remarkable,"that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
<start> It is most remarkable,that,"Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
<start> It is most remarkable that,"Lincoln,","when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln,",when,"he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when",he,"saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he",saw,"so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw",so,"much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so",much,"that was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much",that,"was vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that",was,"vulnerable in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was",vulnerable,"in the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable",in,"the leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in",the,"leadership of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the",leadership,"of the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership",of,"the Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of",the,"Church, did not move to the opposite error and become a scoffer. <end>",0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the","Church,",did not move to the opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church,",did,not move to the opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did",not,move to the opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not",move,to the opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move",to,the opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to",the,opposite error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the",opposite,error and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite",error,and become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error",and,become a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and",become,a scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become",a,scoffer. <end>,0
"<start> It is most remarkable that Lincoln, when he saw so much that was vulnerable in the leadership of the Church, did not move to the opposite error and become a",scoffer.,<end>,0
<start>,He,"just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He,just,"waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just,waited,"until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited,until,"I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited until,I,"stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited until I,stopped,"talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited until I stopped,talking,"and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited until I stopped talking,and,"said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
<start> He just waited until I stopped talking and,"said,","'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said,","'Jesus,","kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus,","kid,","you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid,",you're,"almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're",almost,"a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost",a,"detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a",detective.,"All you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective.",All,"you need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All",you,"need now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you",need,"now is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need",now,"is a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now",is,"a gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is",a,"gun, a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a","gun,","a gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun,",a,"gut, and three ex-wives. So what's your theory? <end>",0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a","gut,",and three ex-wives. So what's your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut,",and,three ex-wives. So what's your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and",three,ex-wives. So what's your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three",ex-wives.,So what's your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives.",So,what's your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So",what's,your theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's",your,theory? <end>,0
"<start> He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your",theory?,<end>,0
<start>,What,"if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
<start> What,"if,""","replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,""",replied,"Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied",Inspector,"Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector",Fry,"in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry",in,"the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry in",the,"same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",1
"<start> What if,"" replied Inspector Fry in the",same,"maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry in the same",maddeningly,"curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry in the same maddeningly",curteous,"tone, ""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous","tone,","""we were all to construct daisy chains and drape them so as to shield the words from public view? <end>",0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone,","""we",were all to construct daisy chains and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we",were,all to construct daisy chains and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were",all,to construct daisy chains and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all",to,construct daisy chains and drape them so as to shield the words from public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to",construct,daisy chains and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct",daisy,chains and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy",chains,and drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains",and,drape them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and",drape,them so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape",them,so as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them",so,as to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so",as,to shield the words from public view? <end>,0
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as",to,shield the words from public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to",shield,the words from public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield",the,words from public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the",words,from public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words",from,public view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from",public,view? <end>,1
"<start> What if,"" replied Inspector Fry in the same maddeningly curteous tone, ""we were all to construct daisy chains and drape them so as to shield the words from public",view?,<end>,0
<start>,...,"As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ...,As,"could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As,could,"the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could,the,"sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could the,sarcasm,"in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could the sarcasm,in,"her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could the sarcasm in,her,"voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could the sarcasm in her,voice.,"""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
<start> ... As could the sarcasm in her voice.,"""yes,","she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes,",she's,"bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's",bleeding,"to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding",to,"deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to",deat,"Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat",Lu,"upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu","upstairs,","but i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs,",but,"i thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but",i,"thought I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i",thought,"I'd avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought",I'd,"avoid telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd",avoid,"telling you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid",telling,"you right away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling",you,"right away, because I like to draw the suspense out. <end>",1
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you",right,"away, because I like to draw the suspense out. <end>",0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right","away,",because I like to draw the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away,",because,I like to draw the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because",I,like to draw the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I",like,to draw the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like",to,draw the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to",draw,the suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw",the,suspense out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the",suspense,out. <end>,0
"<start> ... As could the sarcasm in her voice. ""yes, she's bleeding to deat Lu upstairs, but i thought I'd avoid telling you right away, because I like to draw the suspense",out.,<end>,0
<start>,Jules,stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules,stood,up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood,up,and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up,and,stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and,stretched,gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched,gracelessly.,“Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly.,“Let’s,hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s,hurry,up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry,up,and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up,and,pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and,pay,before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay,before,she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before,she”-she,indicated Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she,indicated,Claire with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated,Claire,with a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire,with,a flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with,a,flick of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a,flick,of her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick,of,her thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of,her,thumb-“sees something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her,thumb-“sees,something shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees,something,shiny and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something,shiny,and we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny,and,we lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and,we,lose her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we,lose,her again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose,her,again. <end>,0
<start> Jules stood up and stretched gracelessly. “Let’s hurry up and pay before she”-she indicated Claire with a flick of her thumb-“sees something shiny and we lose her,again.,<end>,0
<start>,What,"tale do you like best to hear?' 'Oh, I have not much choice! They generally run on the same theme - courtship; and promise to end in the same catastrophe - marriage. <end>",0
<start> What,tale,"do you like best to hear?' 'Oh, I have not much choice! They generally run on the same theme - courtship; and promise to end in the same catastrophe - marriage. <end>",0
<start> What tale,do,"you like best to hear?' 'Oh, I have not much choice! They generally run on the same theme - courtship; and promise to end in the same catastrophe - marriage. <end>",0
